paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m
1,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,32,C,gross photosynthesis,1.053569283,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
1,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,34,C,gross photosynthesis,0.98154446,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
1,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,36,C,gross photosynthesis,0.735362975,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
1,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,37,C,gross photosynthesis,0.37318375,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
2,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,20,C,gross photosynthesis,0.509315531,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
2,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,22,C,gross photosynthesis,0.656481246,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
2,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,24,C,gross photosynthesis,0.726261688,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
2,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,28,C,gross photosynthesis,0.919824088,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
2,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,30,C,gross photosynthesis,0.934985911,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
2,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,32,C,gross photosynthesis,0.962559199,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
2,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,34,C,gross photosynthesis,0.888048079,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
2,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,36,C,gross photosynthesis,0.496782832,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
