paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units,gas_units,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m,broad_coral,npp_value,r_value,gpp_value,npp_error,r_error,gpp_error,n
2,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,23,C,dark respiration,0.02920354,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.004424779,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.023487544,0.02920354,,0.005871886,0.004424779,,5
2,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,24,C,dark respiration,0.028318584,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.005309735,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.026690391,0.028318584,,0.00747331,0.005309735,,5
2,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,25,C,dark respiration,0.037168142,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.004867257,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.026690391,0.037168142,,0.006405694,0.004867257,,5
2,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,26,C,dark respiration,0.042477876,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.005309735,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.035231317,0.042477876,,0.00747331,0.005309735,,5
2,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,27,C,dark respiration,0.042477876,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.004867257,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.035231317,0.042477876,,0.003736655,0.004867257,,5
2,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,28,C,dark respiration,0.047787611,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.004867257,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.029893238,0.047787611,,0.004270463,0.004867257,,5
2,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,29,C,dark respiration,0.056637168,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.006637168,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.027758007,0.056637168,,0.004270463,0.006637168,,5
2,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,30,C,dark respiration,0.061946903,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.00619469,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.034163701,0.061946903,,0.005871886,0.00619469,,5
2,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,31,C,dark respiration,0.067256637,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007079646,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.039501779,0.067256637,,0.005338078,0.007079646,,5
2,godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,32,C,dark respiration,0.07699115,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007964602,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,hard,-0.04911032,0.07699115,,0.005338078,0.007964602,,5
