paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,20,C,respiration,-19.76958525,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.31797235,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,20,C,respiration,-22.90322581,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.34562212,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,22,C,respiration,-27.14285714,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.926267281,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,24,C,respiration,-31.19815668,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.741935484,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,26,C,respiration,-34.51612903,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.953917051,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,28,C,respiration,-45.57603687,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.820276498,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,30,C,respiration,-44.83870968,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,11.79723502,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,12,C,gross photosynthesis,16.0780042,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.135338346,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,14,C,gross photosynthesis,29.9912325,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.134700709,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,16,C,gross photosynthesis,42.09931188,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,8.480565371,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,18,C,gross photosynthesis,52.76378225,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.744360902,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,20,C,gross photosynthesis,59.09742554,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.925449667,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,20,C,gross photosynthesis,63.24780148,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,12.27067669,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,22,C,gross photosynthesis,71.56640718,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.413533835,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,24,C,gross photosynthesis,79.88628816,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.939849624,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,26,C,gross photosynthesis,83.15226228,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.022556391,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,28,C,gross photosynthesis,90.02725896,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.203007519,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,30,C,gross photosynthesis,90.76755493,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,13.53383459,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,12,C,gross photosynthesis,34.12311698,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.677329366,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,14,C,gross photosynthesis,51.10337682,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.052631579,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,16,C,gross photosynthesis,59.24216903,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.691729323,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,18,C,gross photosynthesis,64.1322033,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.887218045,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,20,C,gross photosynthesis,70.10558198,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,14.43609023,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,20,C,gross photosynthesis,71.90945562,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,12.63157895,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,coral
nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,22,C,gross photosynthesis,83.83772151,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,17.14285714,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,coral
