latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit,gpp_value,npp_value,r_value
21.4691,minutum,1.3257575757575758e-5,37.65866662842876,35,npp,russnak2021,43,,1.3257575757575758e-5,-2.20E-05
21.4691,minutum,-1.97E-05,37.05737864138695,40,npp,russnak2021,43,,-1.97E-05,-1.97E-05
21.4691,linucheae,4.166666666666667e-6,40.98364161,10,npp,russnak2021,44,,4.166666666666667e-6,-1.17E-05
21.4691,linucheae,2.348484848484849e-5,40.27249044438772,15,npp,russnak2021,44,,2.348484848484849e-5,-1.17E-05
21.4691,linucheae,3.371212121212122e-5,39.58559823145258,20,npp,russnak2021,44,,3.371212121212122e-5,-1.52E-05
21.4691,linucheae,4.1666666666666665e-5,38.92174449622782,25,npp,russnak2021,44,,4.1666666666666665e-5,-2.54E-05
21.4691,linucheae,4.053030303030303e-5,38.27978928434875,30,npp,russnak2021,44,,4.053030303030303e-5,-3.67E-05
21.4691,linucheae,-1.63E-05,37.65866662842876,35,npp,russnak2021,44,,-1.63E-05,-4.70E-05
21.4691,linucheae,-6.29E-05,37.05737864138695,40,npp,russnak2021,44,,-6.29E-05,-6.86E-05
-8.7832,voratum,2.6283240568181822e-5,40.98364161,10,npp,russnak2021,45,,2.6283240568181822e-5,-4.64E-06
-8.7832,voratum,3.0148423003787878e-5,40.27249044438772,15,npp,russnak2021,45,,3.0148423003787878e-5,-8.50E-06
-8.7832,voratum,4.560915276515152e-5,39.58559823145258,20,npp,russnak2021,45,,4.560915276515152e-5,-1.24E-05
-8.7832,voratum,5.527210882575758e-5,38.92174449622782,25,npp,russnak2021,45,,5.527210882575758e-5,-2.01E-05
-8.7832,voratum,5.527210882575758e-5,38.27978928434875,30,npp,russnak2021,45,,5.527210882575758e-5,-2.98E-05
-8.7832,voratum,-1.69E-04,37.65866662842876,35,npp,russnak2021,45,,-1.69E-04,-5.88E-05
-8.7832,voratum,-4.14E-05,37.05737864138695,40,npp,russnak2021,45,,-4.14E-05,-4.33E-05
21.4691,minutum,3.929680178030303e-5,39.58559823145258,20,npp,russnak2021,46,,3.929680178030303e-5,-1.30E-05
21.4691,minutum,4.174476727272727e-5,39.31735768778696,22,npp,russnak2021,46,,4.174476727272727e-5,-1.14E-05
21.4691,minutum,4.341172681818183e-5,39.052727987717724,24,npp,russnak2021,46,,4.341172681818183e-5,-1.36E-05
21.4691,minutum,4.273322787878788e-5,38.79163670917708,26,npp,russnak2021,46,,4.273322787878788e-5,-1.51E-05
21.4691,minutum,3.8152139962121215e-5,38.53401335397749,28,npp,russnak2021,46,,3.8152139962121215e-5,-1.89E-05
21.4691,minutum,3.59140698219697e-5,38.27978928434875,30,npp,russnak2021,46,,3.59140698219697e-5,-1.80E-05
21.4691,minutum,3.133054123863637e-5,38.028897661970575,32,npp,russnak2021,46,,3.133054123863637e-5,-2.10E-05
21.4691,minutum,2.3625429553030307e-5,37.781273389387344,34,npp,russnak2021,46,,2.3625429553030307e-5,-2.17E-05
-8.7832,minutum,1.571108815530303e-5,39.58559823145258,20,npp,russnak2021,47,,1.571108815530303e-5,-3.08E-05
-8.7832,minutum,2.152203856818182e-5,39.31735768778696,22,npp,russnak2021,47,,2.152203856818182e-5,-2.79E-05
-8.7832,minutum,2.0553546833333336e-5,39.052727987717724,24,npp,russnak2021,47,,2.0553546833333336e-5,-3.37E-05
-8.7832,minutum,1.571108815530303e-5,38.79163670917708,26,npp,russnak2021,47,,1.571108815530303e-5,-3.56E-05
-8.7832,minutum,1.1837121212121214e-5,38.53401335397749,28,npp,russnak2021,47,,1.1837121212121214e-5,-3.76E-05
-8.7832,minutum,1.1837121212121212e-6,38.27978928434875,30,npp,russnak2021,47,,1.1837121212121212e-6,-4.14E-05
-8.7832,minutum,-2.01E-05,38.028897661970575,32,npp,russnak2021,47,,-2.01E-05,-4.43E-05
-8.7832,minutum,-3.76E-05,37.781273389387344,34,npp,russnak2021,47,,-3.76E-05,-5.40E-05
21.4691,minutum,3.7601221087121214e-5,39.58559823145258,20,npp,russnak2021,48,,3.7601221087121214e-5,-9.55E-06
21.4691,minutum,4.091645810606061e-5,39.31735768778696,22,npp,russnak2021,48,,4.091645810606061e-5,-1.09E-05
21.4691,minutum,4.19125856439394e-5,39.052727987717724,24,npp,russnak2021,48,,4.19125856439394e-5,-1.37E-05
21.4691,minutum,4.2130488560606066e-5,38.79163670917708,26,npp,russnak2021,48,,4.2130488560606066e-5,-1.66E-05
21.4691,minutum,4.15805431439394e-5,38.53401335397749,28,npp,russnak2021,48,,4.15805431439394e-5,-1.95E-05
