paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,avg_depth_m,depth_m,npp_value,r_value,gpp_value,npp_error,r_error,gpp_error
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,25,C,net photosynthesis,9.531914894,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,9.531914894,-1.574468085,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,25,C,net photosynthesis,8.70212766,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,8.70212766,-2.276595745,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,25,C,net photosynthesis,7.936170213,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,7.936170213,-3.29787234,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,25,C,net photosynthesis,7.680851064,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,7.680851064,-4.574468085,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,25,C,net photosynthesis,14.95744681,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,14.95744681,-5.659574468,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,25,C,net photosynthesis,20.12765957,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,20.12765957,-7.510638298,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,30,C,net photosynthesis,18.9787234,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,18.9787234,-2.85106383,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,30,C,net photosynthesis,16.55319149,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,16.55319149,-3.042553191,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,30,C,net photosynthesis,15.91489362,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,15.91489362,-4.765957447,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,30,C,net photosynthesis,12.08510638,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,12.08510638,-6.29787234,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,30,C,net photosynthesis,9.85106383,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,9.85106383,-7.127659574,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,35,C,net photosynthesis,12.72340426,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,12.72340426,-2.85106383,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,35,C,net photosynthesis,12.08510638,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,12.08510638,-3.936170213,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,35,C,net photosynthesis,10.87234043,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,10.87234043,-6.170212766,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,35,C,net photosynthesis,10.4893617,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,10.4893617,-6.872340426,,,,
