tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,sd_molgCmin,temp,cnidarian_type,metabolic_category,study_id
13_becker2021,shallow,hard,-17.5388,spp.,3.5595410162601625e-11,NA,20,hermatypic coral,gpp,becker2021
13_becker2021,shallow,hard,-17.5388,spp.,3.563127243902439e-11,NA,22,hermatypic coral,gpp,becker2021
13_becker2021,shallow,hard,-17.5388,spp.,4.0315680813008123e-11,NA,24,hermatypic coral,gpp,becker2021
13_becker2021,shallow,hard,-17.5388,spp.,3.627685016260163e-11,NA,28,hermatypic coral,gpp,becker2021
13_becker2021,shallow,hard,-17.5388,spp.,4.330937024390244e-11,NA,30,hermatypic coral,gpp,becker2021
13_becker2021,shallow,hard,-17.5388,spp.,4.135930715447154e-11,NA,32,hermatypic coral,gpp,becker2021
13_becker2021,shallow,hard,-17.5388,spp.,3.5256993170731706e-11,NA,34,hermatypic coral,gpp,becker2021
13_becker2021,shallow,hard,-17.5388,spp.,2.3170992439024388e-11,NA,36,hermatypic coral,gpp,becker2021
13_becker2021,shallow,hard,-17.5388,spp.,3.5518113008130082e-12,NA,37,hermatypic coral,gpp,becker2021
14_becker2021,shallow,hard,-17.5388,spp.,4.326403642276423e-11,NA,20,hermatypic coral,gpp,becker2021
14_becker2021,shallow,hard,-17.5388,spp.,4.6068166016260164e-11,NA,22,hermatypic coral,gpp,becker2021
14_becker2021,shallow,hard,-17.5388,spp.,5.911715552845529e-11,NA,24,hermatypic coral,gpp,becker2021
14_becker2021,shallow,hard,-17.5388,spp.,7.5933811300813e-11,NA,28,hermatypic coral,gpp,becker2021
14_becker2021,shallow,hard,-17.5388,spp.,7.453965926829268e-11,NA,30,hermatypic coral,gpp,becker2021
14_becker2021,shallow,hard,-17.5388,spp.,7.112693089430895e-11,NA,32,hermatypic coral,gpp,becker2021
14_becker2021,shallow,hard,-17.5388,spp.,5.6715234552845523e-11,NA,34,hermatypic coral,gpp,becker2021
14_becker2021,shallow,hard,-17.5388,spp.,3.4549920081300815e-11,NA,36,hermatypic coral,gpp,becker2021
14_becker2021,shallow,hard,-17.5388,spp.,1.185036650406504e-11,NA,37,hermatypic coral,gpp,becker2021
15_becker2021,shallow,hard,-17.5388,spp.,5.448452016260163e-11,NA,20,hermatypic coral,gpp,becker2021
15_becker2021,shallow,hard,-17.5388,spp.,6.438117073170733e-11,NA,22,hermatypic coral,gpp,becker2021
15_becker2021,shallow,hard,-17.5388,spp.,7.453009682926829e-11,NA,24,hermatypic coral,gpp,becker2021
15_becker2021,shallow,hard,-17.5388,spp.,9.14399682113821e-11,NA,28,hermatypic coral,gpp,becker2021
15_becker2021,shallow,hard,-17.5388,spp.,9.026303707317073e-11,NA,30,hermatypic coral,gpp,becker2021
15_becker2021,shallow,hard,-17.5388,spp.,9.189196097560975e-11,NA,32,hermatypic coral,gpp,becker2021
15_becker2021,shallow,hard,-17.5388,spp.,8.698846178861788e-11,NA,34,hermatypic coral,gpp,becker2021
15_becker2021,shallow,hard,-17.5388,spp.,6.634876577235772e-11,NA,36,hermatypic coral,gpp,becker2021
15_becker2021,shallow,hard,-17.5388,spp.,3.6534597804878046e-11,NA,37,hermatypic coral,gpp,becker2021
16_becker2021,shallow,hard,-17.5388,spp.,4.0192066829268296e-11,NA,20,hermatypic coral,gpp,becker2021
16_becker2021,shallow,hard,-17.5388,spp.,4.31453631707317e-11,NA,22,hermatypic coral,gpp,becker2021
16_becker2021,shallow,hard,-17.5388,spp.,5.233977804878049e-11,NA,24,hermatypic coral,gpp,becker2021
16_becker2021,shallow,hard,-17.5388,spp.,6.176302390243903e-11,NA,28,hermatypic coral,gpp,becker2021
16_becker2021,shallow,hard,-17.5388,spp.,5.870693000000001e-11,NA,30,hermatypic coral,gpp,becker2021
16_becker2021,shallow,hard,-17.5388,spp.,5.9029292439024385e-11,NA,32,hermatypic coral,gpp,becker2021
16_becker2021,shallow,hard,-17.5388,spp.,5.286761430894309e-11,NA,34,hermatypic coral,gpp,becker2021
16_becker2021,shallow,hard,-17.5388,spp.,3.630139170731707e-11,NA,36,hermatypic coral,gpp,becker2021
16_becker2021,shallow,hard,-17.5388,spp.,2.1224814634146338e-11,NA,37,hermatypic coral,gpp,becker2021
1_kemp2011,shallow,hard,24.84,siderea,5.691056905487805e-8,NA,20,hermatypic coral,gpp,kemp2011
1_kemp2011,shallow,hard,24.84,siderea,2.5406504115853657e-8,NA,16,hermatypic coral,gpp,kemp2011
1_kemp2011,shallow,hard,24.84,siderea,6.097560975609757e-9,NA,12,hermatypic coral,gpp,kemp2011
2_kemp2011,shallow,hard,24.84,siderea,5.233739832317073e-8,NA,20,hermatypic coral,gpp,kemp2011
2_kemp2011,shallow,hard,24.84,siderea,4.4207317073170735e-8,NA,16,hermatypic coral,gpp,kemp2011
2_kemp2011,shallow,hard,24.84,siderea,1.2195121951219513e-8,NA,12,hermatypic coral,gpp,kemp2011
3_kemp2011,shallow,hard,24.84,astreoides,7.698170731707317e-8,NA,20,hermatypic coral,gpp,kemp2011
3_kemp2011,shallow,hard,24.84,astreoides,7.393292682926828e-8,NA,16,hermatypic coral,gpp,kemp2011
