tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
1_lange2004,cyanobacteria,high,8,aurata,1.3700662248000003e-6,38.40648062733848,29,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,1.1340397351200001e-6,38.27978928434875,30,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,9.909933775200002e-7,38.028897661970575,32,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,7.907284768800001e-7,38.27978928434875,30,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,7.764238410000001e-7,38.15393102597508,31,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,6.2622516552e-7,38.028897661970575,32,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,8.622516556800001e-7,37.781273389387344,34,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.757615894e-7,37.781273389387344,34,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,1.6132450332000002e-7,37.781273389387344,34,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,5.618543046000001e-7,37.53685305369666,36,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,5.9046357612e-7,37.4158249929077,37,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,4.1880794700000005e-7,37.295574872409844,38,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,1.684768212e-7,37.4158249929077,37,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,-9.615894036000002e-8,37.53685305369666,36,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,-1.6768211916000004e-7,37.4158249929077,37,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,8.264900664e-8,37.05737864138695,40,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,3.973509936e-8,36.93941786264626,41,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,-9.615894036000002e-8,36.822205684754316,42,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,-2.8927152312e-7,37.05737864138695,40,npp,lange2004,1
1_reiter2000,green algae,high,47.0004,islandica,7.637543927999999e-8,42.17524303670842,2,npp,reiter2000,1
1_reiter2000,green algae,high,47.0004,islandica,2.6870535564e-7,40.9836416088657,10,npp,reiter2000,1
1_reiter2000,green algae,high,47.0004,islandica,3.0302275511999996e-7,39.58559823145258,20,npp,reiter2000,1
1_reiter2000,green algae,high,47.0004,islandica,-2.4134078208e-7,38.27978928434875,30,npp,reiter2000,1
3_reiter2000,green algae,high,47.0004,nivalis,6.381502895999999e-8,42.17524303670842,2,npp,reiter2000,3
3_reiter2000,green algae,high,47.0004,nivalis,7.172413788000001e-8,40.9836416088657,10,npp,reiter2000,3
3_reiter2000,green algae,high,47.0004,nivalis,-1.5999999995999998e-7,39.58559823145258,20,npp,reiter2000,3
3_reiter2000,green algae,high,47.0004,nivalis,-6.719999999999999e-7,38.27978928434875,30,npp,reiter2000,3
6_sancho1997,green algae,high,40.8509,grisea,4.912457143199999e-7,42.4840495022893,0,npp,sancho1997,6
6_sancho1997,green algae,high,40.8509,grisea,7.786971428399999e-7,41.42251694288889,7,npp,sancho1997,6
6_sancho1997,green algae,high,40.8509,grisea,1.0793142856799998e-6,40.41273940989142,14,npp,sancho1997,6
6_sancho1997,green algae,high,40.8509,grisea,9.0596571432e-7,39.451022000851,21,npp,sancho1997,6
6_sancho1997,green algae,high,40.8509,grisea,9.498514285199999e-7,38.53401335397749,28,npp,sancho1997,6
