tpc_grp,response_id,study_id,elevation_broad,lichen_type,latitude,species,inv_T,mol_gCmin,metabolic_category
2_smith2001,2,smith2001,neutral,green algae,-46.8964,complicatulum,40.27249044438772,3.0644264426666664e-6,npp
2_smith2001,2,smith2001,neutral,green algae,-46.8964,complicatulum,40.27249044438772,2.8268026803333335e-6,npp
2_smith2001,2,smith2001,neutral,green algae,-46.8964,complicatulum,40.9836416088657,2.9059905989999997e-6,npp
2_smith2001,2,smith2001,neutral,green algae,-46.8964,complicatulum,41.720359955241136,2.648264826333333e-6,npp
2_smith2001,2,smith2001,neutral,green algae,-46.8964,complicatulum,41.720359955241136,2.8264426443333336e-6,npp
1_smith2001,1,smith2001,neutral,green algae,-46.8964,complicatulum,42.329083062375794,-1.3161316133333332e-8,npp
2_smith2001,2,smith2001,neutral,green algae,-46.8964,complicatulum,42.329083062375794,2.688728873e-6,npp
2_smith2001,2,smith2001,neutral,green algae,-46.8964,complicatulum,42.329083062375794,2.8075407539999996e-6,npp
1_uchida2006,1,uchida2006,neutral,green algae,79,delisei,41.87089345679351,1.5396401575399534e-7,npp
1_uchida2006,1,uchida2006,neutral,green algae,79,delisei,41.42251694288889,1.514807240778611e-7,npp
1_uchida2006,1,uchida2006,neutral,green algae,79,delisei,40.696188397511214,1.4403084904945845e-7,npp
1_uchida2006,1,uchida2006,neutral,green algae,79,delisei,40.27249044438772,1.2788946451564044e-7,npp
1_uchida2006,1,uchida2006,neutral,green algae,79,delisei,39.58559823145258,1.0491902597894419e-7,npp
2_zotz2003,2,zotz2003,neutral,green algae,9,endosulphureum,40.9836416088657,4.898936172e-7,npp
2_zotz2003,2,zotz2003,neutral,green algae,9,endosulphureum,40.27249044438772,7.35638298e-7,npp
2_zotz2003,2,zotz2003,neutral,green algae,9,endosulphureum,39.58559823145258,1.1489361708e-6,npp
2_zotz2003,2,zotz2003,neutral,green algae,9,endosulphureum,38.92174449622782,1.0260638292e-6,npp
2_zotz2003,2,zotz2003,neutral,green algae,9,endosulphureum,38.27978928434875,5.56914894e-7,npp
2_zotz2003,2,zotz2003,neutral,green algae,9,endosulphureum,37.65866662842876,-4.6276596e-8,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,42.17524303670842,0.00933175228645161,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,42.17524303670842,0.00989018392451612,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,42.17524303670842,0.010194783,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,42.17524303670842,0.01044874248,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,42.17524303670842,0.01080398115290322,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,41.42251694288889,0.0136554092516129,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,41.42251694288889,0.0134523432,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,41.42251694288889,0.01319851063741935,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,41.42251694288889,0.01187858130774193,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,41.42251694288889,0.01172628177096774,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,41.42251694288889,0.01121861664387096,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,41.42251694288889,0.01066018500580645,npp
1_lange2002florai,1,lange2002florai,neutral,green algae,49.9174,muralis,40.696188397511214,0.01328316379741935,npp
