tpc_grp,latitude,species,mol_gCmin,sd_molgCmin,temp,metabolic_category,study_id
1_uthicke2012,-9.5221,vertebralis,-2.2386657456808944e-12,NA,29.5,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,2.1484491446476967e-13,NA,29.5,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-5.716463414634148e-12,NA,29.5,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-4.1659821942750685e-12,NA,29.5,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.7737607871781845e-11,NA,26.1,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.3782751662008808e-11,NA,26.1,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.229037378260502e-11,NA,26.1,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.3253191649728997e-11,NA,26.1,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.228529869579946e-11,NA,26.1,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.4282319306825882e-11,NA,26.1,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.473269049585027e-11,NA,26.1,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,4.6003750423441734e-12,NA,26.1,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.554086979166667e-11,NA,26.1,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.2856157414464773e-11,NA,26.1,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,3.0973573213075886e-12,NA,26.1,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,4.243072292090109e-12,NA,26.1,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.2412927570291331e-11,NA,25.8,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,9.052179168783876e-12,NA,25.8,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.1776496009061652e-11,NA,25.8,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,6.133261792852305e-12,NA,25.8,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,9.467872882791329e-12,NA,25.8,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,6.2435705242208675e-12,NA,25.8,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,3.514512015159214e-12,NA,25.8,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,3.1394303650067753e-13,NA,25.8,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,5.643940707571138e-12,NA,25.8,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,5.644272908197832e-12,NA,25.8,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,4.7666939363143634e-12,NA,25.8,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.592055867843835e-11,NA,29.2,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.9495582782859083e-11,NA,29.2,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.6901316268631443e-11,NA,29.2,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.4590143282096885e-11,NA,29.2,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.7035290872713417e-11,NA,29.2,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.6065148458672093e-11,NA,29.2,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.785221875e-11,NA,29.2,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.4961110010162607e-11,NA,29.2,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.7729923378218162e-11,NA,29.2,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.5769732787093496e-11,NA,29.2,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,1.072743321265244e-11,NA,29.2,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.2830730309959353e-11,NA,29.2,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.8693368764820467e-11,NA,29.3,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,3.035036733570461e-11,NA,29.3,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.4789541740768976e-11,NA,29.3,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,3.0922116806402445e-11,NA,29.3,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,3.2923239922086725e-11,NA,29.3,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.9106412305216805e-11,NA,29.3,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,3.144176395240515e-11,NA,29.3,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.6672056370680898e-11,NA,29.3,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,3.3711121506605693e-11,NA,29.3,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.0294932492801492e-11,NA,29.3,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.4085293159298786e-11,NA,29.3,npp,uthicke2012
2_uthicke2012,-18.2871,vertebralis,2.6266401073424797e-11,NA,29.3,npp,uthicke2012
3_deldicq2025,50.3722,germanica,NA,NA,6,npp,deldicq2025
3_deldicq2025,50.3722,germanica,NA,NA,12,npp,deldicq2025
3_deldicq2025,50.3722,germanica,NA,NA,18,npp,deldicq2025
3_deldicq2025,50.3722,germanica,NA,NA,24,npp,deldicq2025
3_deldicq2025,50.3722,germanica,NA,NA,30,npp,deldicq2025
3_deldicq2025,50.3722,germanica,NA,NA,36,npp,deldicq2025
