tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
6_sancho1997,green algae,high,40.8509,grisea,1.43834292288e-6,40.41273940989142,14,gpp,sancho1997,6
6_sancho1997,green algae,high,40.8509,grisea,1.6239355581599997e-6,39.451022000851,21,gpp,sancho1997,6
6_sancho1997,green algae,high,40.8509,grisea,1.5863751437999996e-6,38.53401335397749,28,gpp,sancho1997,6
6_sancho1997,green algae,high,40.8509,grisea,1.5532336018799997e-6,37.65866662842876,35,gpp,sancho1997,6
1_schroeter1995,green algae,neutral,-77,aprina,2.3920265759999998e-8,43.765861291911456,-8,gpp,schroeter1995,1
1_schroeter1995,green algae,neutral,-77,aprina,8.611295687999998e-8,43.42195742394882,-5.9,gpp,schroeter1995,1
1_schroeter1995,green algae,neutral,-77,aprina,1.7102990027999997e-7,43.11543050919681,-4,gpp,schroeter1995,1
1_schroeter1995,green algae,neutral,-77,aprina,2.7747508308e-7,42.79741147538382,-2,gpp,schroeter1995,1
1_schroeter1995,green algae,neutral,-77,aprina,4.4611295675999993e-7,42.4840495022893,0,gpp,schroeter1995,1
1_schroeter1995,green algae,neutral,-77,aprina,5.2026578076e-7,42.17524303670842,2,gpp,schroeter1995,1
1_schroeter1995,green algae,neutral,-77,aprina,5.932225914e-7,41.87089345679351,4,gpp,schroeter1995,1
1_smith2001,green algae,neutral,-46.8964,complicatulum,4.394589459e-6,38.92174449622782,25,gpp,smith2001,1
1_smith2001,green algae,neutral,-46.8964,complicatulum,4.760916091666666e-6,38.92174449622782,25,gpp,smith2001,1
1_smith2001,green algae,neutral,-46.8964,complicatulum,4.720912091333334e-6,39.58559823145258,20,gpp,smith2001,1
1_smith2001,green algae,neutral,-46.8964,complicatulum,4.384278427666667e-6,39.58559823145258,20,gpp,smith2001,1
1_smith2001,green algae,neutral,-46.8964,complicatulum,4.226122612333332e-6,40.27249044438772,15,gpp,smith2001,1
1_smith2001,green algae,neutral,-46.8964,complicatulum,3.7706770676666663e-6,40.27249044438772,15,gpp,smith2001,1
1_smith2001,green algae,neutral,-46.8964,complicatulum,3.6518251823333333e-6,40.9836416088657,10,gpp,smith2001,1
1_smith2001,green algae,neutral,-46.8964,complicatulum,2.938653865233333e-6,41.720359955241136,5,gpp,smith2001,1
1_smith2001,green algae,neutral,-46.8964,complicatulum,2.701890189133333e-6,42.329083062375794,1,gpp,smith2001,1
1_uchida2006,green algae,neutral,79,delisei,1.7459284253578732e-7,41.87089345679351,4,gpp,uchida2006,1
1_uchida2006,green algae,neutral,79,delisei,1.778540937665682e-7,41.42251694288889,7,gpp,uchida2006,1
1_uchida2006,green algae,neutral,79,delisei,1.8522066954480043e-7,40.696188397511214,12,gpp,uchida2006,1
1_uchida2006,green algae,neutral,79,delisei,1.814459365295766e-7,40.27249044438772,15,gpp,uchida2006,1
1_uchida2006,green algae,neutral,79,delisei,1.8446761342119214e-7,39.58559823145258,20,gpp,uchida2006,1
1_sundberg1997,cyanobacteria + green algae,neutral,64.14,pulmonaria,0.0034484475096774186,40.55396862327563,13,gpp,sundberg1997,1
1_sundberg1997,cyanobacteria + green algae,neutral,64.14,pulmonaria,0.0040032719999999996,40.1332115564597,16,gpp,sundberg1997,1
1_sundberg1997,cyanobacteria + green algae,neutral,64.14,pulmonaria,0.004378845619354838,39.7210957437971,19,gpp,sundberg1997,1
1_sundberg1997,cyanobacteria + green algae,neutral,64.14,pulmonaria,0.004856848083870968,39.31735768778696,22,gpp,sundberg1997,1
1_sundberg1997,cyanobacteria + green algae,neutral,64.14,pulmonaria,0.005129992432258064,38.92174449622782,25,gpp,sundberg1997,1
2_sundberg1997,green algae,neutral,64.14,glauca,5.804316774193548e-4,41.570904967043965,6,gpp,sundberg1997,2
2_sundberg1997,green algae,neutral,64.14,glauca,8.023616516129032e-4,40.839409190745464,11,gpp,sundberg1997,2
2_sundberg1997,green algae,neutral,64.14,glauca,0.0010925774516129033,40.1332115564597,16,gpp,sundberg1997,2
2_sundberg1997,green algae,neutral,64.14,glauca,0.001212078077419355,39.451022000851,21,gpp,sundberg1997,2
1_tretiach1997,green algae,neutral,45.39,baldensis,6.444253374193548e-4,41.720359955241136,5,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,6.808093083870968e-4,41.720359955241136,5,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,8.419396916129031e-4,41.720359955241136,5,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,8.085668767741934e-4,41.570904967043965,6,gpp,tretiach1997,1
1_tretiach1997,green algae,neutral,45.39,baldensis,8.632871361290322e-4,41.570904967043965,6,gpp,tretiach1997,1
