tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,sd_molgCmin,temp,metabolic_category,study_id,paper_unit,mol_grammin
5_scholander1952,green algae,neutral,71,islandica,1.1793355729166667e-7,NA,0,r,scholander1952,5,1.1793355729166667e-7
5_scholander1952,green algae,neutral,71,islandica,1.3079201145833332e-7,NA,0,r,scholander1952,5,1.3079201145833332e-7
5_scholander1952,green algae,neutral,71,islandica,1.4757598020833337e-7,NA,0,r,scholander1952,5,1.4757598020833337e-7
5_scholander1952,green algae,neutral,71,islandica,1.9785931458333333e-7,NA,10,r,scholander1952,5,1.9785931458333333e-7
5_scholander1952,green algae,neutral,71,islandica,2.4335716770833334e-7,NA,10,r,scholander1952,5,2.4335716770833334e-7
5_scholander1952,green algae,neutral,71,islandica,2.51898403125e-7,NA,10,r,scholander1952,5,2.51898403125e-7
5_scholander1952,green algae,neutral,71,islandica,2.79363225e-7,NA,10,r,scholander1952,5,2.79363225e-7
5_scholander1952,green algae,neutral,71,islandica,2.6073941562500003e-7,NA,10,r,scholander1952,5,2.6073941562500003e-7
5_scholander1952,green algae,neutral,71,islandica,2.99317275e-7,NA,10,r,scholander1952,5,2.99317275e-7
5_scholander1952,green algae,neutral,71,islandica,3.2069658020833335e-7,NA,10,r,scholander1952,5,3.2069658020833335e-7
5_scholander1952,green algae,neutral,71,islandica,3.4360294375000004e-7,NA,10,r,scholander1952,5,3.4360294375000004e-7
5_scholander1952,green algae,neutral,71,islandica,5.021701375e-7,NA,20,r,scholander1952,5,5.021701375e-7
5_scholander1952,green algae,neutral,71,islandica,4.85142821875e-7,NA,20,r,scholander1952,5,4.85142821875e-7
5_scholander1952,green algae,neutral,71,islandica,5.021701375e-7,NA,20,r,scholander1952,5,5.021701375e-7
