individual.ID,temp.Cat,treatment,Temp.C,umol.cm2.hr,rate.type,light_dark,fragment.ID
PV30,32,control,31.91761224,0.417885937,R,dark,PV30_D
PV30,32,control,32.05995918,0.456975313,NP,light,PV30_L
PV30,32,control,31.98878571,0.87486125,GP,light,PV30_L
PV30,34,control,33.92269388,0.491982278,R,dark,PV30_D
PV30,34,control,34.18455102,0.205615107,NP,light,PV30_L
PV30,34,control,34.05362245,0.697597385,GP,light,PV30_L
PV30,36,control,35.93979592,0.487788812,R,dark,PV30_D
PV30,36,control,35.9629,-0.062824795,NP,light,PV30_L
PV30,36,control,35.95134796,0.424964017,GP,light,PV30_L
PV30,37,control,36.94012245,0.469854058,R,dark,PV30_D
PV30,37,control,36.95046939,-0.32409455,NP,light,PV30_L
PV30,37,control,36.94529592,0.145759508,GP,light,PV30_L
PV30,38,control,38.20481633,0.426996722,R,dark,PV30_D
PV30,39,control,38.99842857,0.423169347,R,dark,PV30_D
PV31,20,control,20.10671429,0.407311136,R,dark,PV31_D
PV31,20,control,20.27016667,0.262848462,NP,light,PV31_L
PV31,20,control,20.18844048,0.670159598,GP,light,PV31_L
PV31,22,control,21.96942857,0.399949363,R,dark,PV31_D
PV31,22,control,22.26046939,0.391939037,NP,light,PV31_L
PV31,22,control,22.11494898,0.7918884,GP,light,PV31_L
PV31,24,control,23.99591667,0.430036653,R,dark,PV31_D
PV31,24,control,24.08418367,0.486683538,NP,light,PV31_L
PV31,24,control,24.04005017,0.916720191,GP,light,PV31_L
PV31,28,control,28.186,0.511663754,R,dark,PV31_D
PV31,28,control,27.9587551,0.613047855,NP,light,PV31_L
PV31,28,control,28.07237755,1.124711609,GP,light,PV31_L
PV31,30,control,30.08263265,0.523072065,R,dark,PV31_D
PV31,30,control,30.12581633,0.587163291,NP,light,PV31_L
PV31,30,control,30.10422449,1.110235356,GP,light,PV31_L
PV31,32,control,31.89306122,0.583389856,R,dark,PV31_D
PV31,32,control,32.22310204,0.546881264,NP,light,PV31_L
PV31,32,control,32.05808163,1.13027112,GP,light,PV31_L
PV31,34,control,33.72175,0.688871322,R,dark,PV31_D
PV31,34,control,34.01879592,0.381086758,NP,light,PV31_L
PV31,34,control,33.87027296,1.06995808,GP,light,PV31_L
PV31,36,control,35.76681132,0.66333797,R,dark,PV31_D
PV31,36,control,35.90125,0.152751849,NP,light,PV31_L
PV31,36,control,35.83403066,0.816089819,GP,light,PV31_L
PV31,37,control,36.79914286,0.564612484,R,dark,PV31_D
PV31,37,control,37.14144898,-0.115236931,NP,light,PV31_L
PV31,37,control,36.97029592,0.449375553,GP,light,PV31_L
PV31,38,control,38.05860417,0.438297877,R,dark,PV31_D
PV32,20,control,19.90368,0.271812793,R,dark,PV32_D
PV32,20,control,20.05634694,0.222549629,NP,light,PV32_L
PV32,20,control,19.98001347,0.494362422,GP,light,PV32_L
PV32,22,control,21.85953061,0.271694509,R,dark,PV32_D
PV32,22,control,22.05544898,0.258993458,NP,light,PV32_L
PV32,22,control,21.9574898,0.530687967,GP,light,PV32_L
PV32,24,control,24.01979592,0.318234542,R,dark,PV32_D
PV32,24,control,23.85434694,0.325544728,NP,light,PV32_L
PV32,24,control,23.93707143,0.64377927,GP,light,PV32_L
PV32,28,control,27.91,0.338877108,R,dark,PV32_D
PV32,28,control,28.20522449,0.420808087,NP,light,PV32_L
PV32,28,control,28.05761224,0.759685194,GP,light,PV32_L
PV32,30,control,29.797,0.371976699,R,dark,PV32_D
