paper_id,study_id,source,org_level,genus,species,temp,temp_units,npp_def,npp_value,npp_units ,gas,gas_unit,mass/area,time,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,elevation_metre,latitude,latitude_broad,elevation_broad,lichen_type,r_value
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,7.505587401,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.097775422
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,7.66296359,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.992857963
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,7.82033978,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.914169868
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,7.951486604,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.835481773
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,8.056404063,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.565510571
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,7.404997787,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.460593112
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,7.667324222,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.276987557
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,7.79843826,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.119611368
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,7.903355719,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.909776449
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,8.008273179,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.565510571
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,8.139420003,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.460593112
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,8.323025557,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.276987557
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,8.427943017,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.119611368
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,22,C,net photosynthesis,8.532860476,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.613575882
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,22,C,net photosynthesis,8.288107715,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.534887787
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,22,C,net photosynthesis,8.602860094,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.456199693
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,22,C,net photosynthesis,8.720892236,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.534887787
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,27,C,net photosynthesis,8.825809695,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-2.946880072
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,27,C,net photosynthesis,7.767913837,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-2.868191977
