paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units,gas_units,response_correction,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,elevation_metre,latitude,latitude_broad,elevation_broad,lichen_type,inv_T,mol,gram,min,npp_value,r_value,npp_error,r_error,n
3,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,10,C,net photosynthesis,0.909853249,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,antarctica,1200,1200,umol *m^-2 *s^-1,NA,-62.24,subantarctic,neutral,green algae,40.98364161,9.10E-07,1000,0.016666667,0.909853249,-1.169811321,,,
3,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,15,C,net photosynthesis,0.809224319,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,antarctica,1200,1200,umol *m^-2 *s^-1,NA,-62.24,subantarctic,neutral,green algae,40.27249044,8.09E-07,1000,0.016666667,0.809224319,-1.169811321,,,
3,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,20,C,net photosynthesis,0.171907757,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,antarctica,1200,1200,umol *m^-2 *s^-1,NA,-62.24,subantarctic,neutral,green algae,39.58559823,1.72E-07,1000,0.016666667,0.171907757,-2.310272537,,,
3,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,25,C,net photosynthesis,-0.599580713,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,antarctica,1200,1200,umol *m^-2 *s^-1,NA,-62.24,subantarctic,neutral,green algae,38.9217445,-6.00E-07,1000,0.016666667,-0.599580713,-2.846960168,,,
3,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,30,C,net photosynthesis,-0.834381551,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,antarctica,1200,1200,umol *m^-2 *s^-1,NA,-62.24,subantarctic,neutral,green algae,38.27978928,-8.34E-07,1000,0.016666667,-0.834381551,-2.578616352,,,
4,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,0,C,net photosynthesis,0.071278826,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,svalbard,1200,1200,umol *m^-2 *s^-1,NA,78.1,arctic,neutral,green algae,42.4840495,7.13E-08,1000,0.016666667,0.071278826,-0.733752621,,,
4,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,5,C,net photosynthesis,0.708595388,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,svalbard,1200,1200,umol *m^-2 *s^-1,NA,78.1,arctic,neutral,green algae,41.72035996,7.09E-07,1000,0.016666667,0.708595388,-1.002096436,,,
4,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,10,C,net photosynthesis,1.077568134,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,svalbard,1200,1200,umol *m^-2 *s^-1,NA,78.1,arctic,neutral,green algae,40.98364161,1.08E-06,1000,0.016666667,1.077568134,-1.002096436,,,
4,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,15,C,net photosynthesis,0.540880503,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,svalbard,1200,1200,umol *m^-2 *s^-1,NA,78.1,arctic,neutral,green algae,40.27249044,5.41E-07,1000,0.016666667,0.540880503,-1.471698113,,,
4,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,20,C,net photosynthesis,0.507337526,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,svalbard,1200,1200,umol *m^-2 *s^-1,NA,78.1,arctic,neutral,green algae,39.58559823,5.07E-07,1000,0.016666667,0.507337526,-2.209643606,,,
4,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,25,C,net photosynthesis,-0.465408805,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,svalbard,1200,1200,umol *m^-2 *s^-1,NA,78.1,arctic,neutral,green algae,38.9217445,-4.65E-07,1000,0.016666667,-0.465408805,-2.779874214,,,
4,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,30,C,net photosynthesis,-0.666666667,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,svalbard,1200,1200,umol *m^-2 *s^-1,NA,78.1,arctic,neutral,green algae,38.27978928,-6.67E-07,1000,0.016666667,-0.666666667,-3.249475891,,,
